
ABACUS,주판
RASCAL,"장난꾸러기, 악동; 비양심적이고 정직하지 못한 사람; 무뢰한, 건달, 깡패"
VIGILANT,"경계하는, 방심하지 않는"
LANGUISH,"기력을 잃다, 쇠약해지다"
HUSK,"껍질, 중요하지 않은 부분"
ENUNCIATE,명확히 표현/설명/발음하다
PLAINTIVE,"슬픈, 불쌍한, 애처로운"
DEBILITATE,쇠약하게 만들다
DERIDE,조롱하다
FUR,"털가죽, 모피"
PALATIAL,궁전같이 웅장하고 멋진
HISS,쉬' 소리를 내다;비난하다
STRATIFY,계층화하다
DISSUADE,하지 않도록 설득하다
PLAUSIBLE,그럴듯한
DROP CLOTH,(페인트칠을 할 때)방을막이천
DETERMINATIVE,결정적인
INCONTROVERTIBLE,"(논쟁, 의문) 여지가 없는"
BYLINE,(기사)필자란
CAVORT,"흥청거리며 탐닉하다, 뛰어다니다"
STOKE,"급유하다, 불을 피우다"
TORTUOUS,"구불구불한; 에두르는, 솔직하지 못한"
VANQUISH,"정복하다, 항복시키다"
RESOLUTE,마음이 확고한
SPURIOUS,"가짜의, 허위의"
BELIE,"잘못 드러내다, 모순되다"
ANNOTATE,주석(주해)를 달다
CAPITULATE,"복종하다, 항복하다"
DEFUSE,뇌관을 제거하다; (긴장 등을) 완화시키다
PELL-MELL,"뒤죽박죽,황급한"
NUGATORY,"증요하지 않은,하찮은"
CONFORM,"(규칙, 관습) 따르다, 순응하다, 지키다"
ZEALOTRY,"광신,지나친 열정"
LIBERATE,자유롭게 풀어주다
HEDGEROW,"생울타리, 담장"
HALE,튼튼한
LURK,"잠복하다, 숨어서 기다리다."
BIGOT,"마음이 편협한 사람; 나와 생각, 종교, 사상 등이 다른 사람을 배척하는 사람"
ARDENT,열정적인
RECONCILIATION,"화해,중재;조화, 일치"
SAP,쇠약하게 만들다
ABSCOND,"몰래 떠나다, 종적을 감추다"
INVETERATE,만성적인
FULL-FLEDGED,"완전한, 성숙한"
LAVISH,"사치스런, 아낌없는"
DOLDRUMS,"침체기, 부진, 침울, 우울"
NATTY,말끔한
DABBLER,취미로 하는 사람
SINISTER,"불길한, 해를 입힐 것 같은; 사악한"
MISCONSTRUCTION,곡해;오해
MARTIAL,호전적인
OCCLUDE,"닫다,가두다,막다"
IRREPROACHABLE,"비난의 여지가 없는, 흠잡을 데 없는"
CHURL,"무례한 사람, 구두쇠"
PLEAT,"(치마, 바지) 주름; 주름잡다"
HODGEPODGE,뒤죽박죽
DIFFUSE,"퍼뜨리다, 확산시키다"
ABBREVIATE,"(단어,문장,글의) 길이를 줄이다"
CARTOGRAPHER,지도제작자
ARTLESS,"꾸밈없는,솔직한;자연스러운;솜씨 없는,기교 없는"
INCITE,자극하다. 선동하다
TRANSFER,"이전하다, 양도하다"
MEANDER,"정처 없이 거닐다, (강)굽이굽이 흐르다"
DECANT,(포도주 등) 조심스럽게/가만히 따르다
FILTHY,"매우 더러운, 추잡한, 난잡한, 비열한"
LAGGARD,"꾸물거리는, 처지는; 게으름뱅이"
EQUABLE,"침착한, 차분한; 한결같은, 안정된"
REVUE,(시사 풍자적인 내용)개그콘서트
VITRIOL,독설
UNDAUNTED,"풀 죽지 않은, 기세가 꺾이지 않은, 대담한"
RAGGED,(옷이) 낡고 헤진; (표면이) 울퉁불퉁한
FACTIOUS,"당파싸움을 좋아하는, 당파의"
