
ABACUS,주판
PROSTRATE,"엎드리(게 하)다, 굴복시키다, 굴복하다, 쇠약하게 하다;엎드린,굴복한,기진맥진한"
DENUNCIATE,공공연히 비난하다
CLOG,"(움직임, 흐름)막다, (활동) 방해하다"
MENIAL,"하인의, 비천한"
LIBEL,문서에 의한 명예훼손; (문서로) 명예를 훼손하다
CHIDE,꾸짖다
CONTRITE,뉘우치는
CHAPERONE,사교계에 나오는 미혼 여성을 따라다니며 돌봐주는 부인
SUBTLE,"미묘한, 분석이나 설명이 힘든, 복잡한"
OBSEQUIOUS,아부하는
COALESCE,"합쳐지다, 하나가 되다"
SCORE,"악보, 총보, 배경음악"
CONTUMACIOUS,고집 센
LUCID,명백하여 이해하기 쉬운
QUEUE,"(차, 사람) 줄, 대기행렬"
NEGLIGIBLE,하찮은
RETRENCH,삭감하다
EXPLOIT,"위업, 업적; 이용하다, 착취하다"
FEEBLE,허약한
OMNIPOTENT,전능한
ROWDY,"소란스러운, 난폭한"
PLETHORA,"초과, 과다"
EMULATION,"경쟁의식, 모범으로 삼음;흉내내기"
SHREWDNESS,"예리함, 날카로움, 명민함"
AGILE,민첩한
SULLY,더럽히다
FIASCO,대 실패
WAYWARD,"통제할 수 없는, (행동이) 어디로 튈지 모르는 "
INCEPTION,"시작, 설립"
CHICANERY,속임수
OBLIQUE,"기울어진,비스듬한,완곡한,모호한;부정한,잘못된"
DINGY,"칙칙한, 지저분한"
RARITY,희귀함; 희귀하고 진귀한 것
PSALM,"성가, 찬송가; (시편)시"
ASYLUM,"(정치범,난민,정신병자 등의)보호시설, 피난처"
QUERULOUS,"징징거리며 불평하는, 불만이 많은"
VAGRANT,"방랑하는 사람, 부랑자; 방랑하는, 정처없는; (생각) 변덕스런, 불안정한"
OBVIATE,"불필요하게 하다;예방하다,제거하다"
FORCEFUL,강력한
PELF,"돈,부유함"
ARCHIPELAGO,군도
SINEWY,"힘찬, 활발한, 건장한"
BAFFLE,"당황하게 하다,어리둥절하게 하다"
FORLORN,"버림받은, 절망적인"
ECCENTRIC,"별난, 엉뚱한"
ANNUL,"무효로 하다, 취소하다,폐지하다"
VIRULENT,해로운
MORTAR,막자 사발
POLARIZE,양극화하다; 분열시키다
MISLEAD,"속이다, 오도하다"
TRUCULENT,"싸우기 좋아하는, 호전적인, 공격적인"
FAWN,아부하다
FOOTLOOSE,"결부된 것이 없는; 마음대로 할 수 있는, 구속되지 않은"
THOROUGHGOING,철저한
ANACHRONISTIC,연대기적 오류가 있는;구시대적인
LOFT,"위로 차 올리다, 위로 올라가다"
INIQUITY,"부도덕함, 사악함, 극악함"
TILT,기울다; 기울게 하다
IMMERSE,"푹 담그다; 열중, 몰두시키다"
REBEL,"반항하다, 반란을 일으키다"
LATITUDE,"(행동, 사항, 견해) 자유, 허용 정도"
SPLURGE,(돈) 펑펑 쓰기; (돈) 펑펑 쓰다
GRANDSTAND,"(관객,미디어로부터)주목 받으려 하다,(관객을 의식하여)화려한 플레이를 하다"
ENCHANT,"황홀하게 하다, 매혹시키다"
DENTURE,의치(한 벌)
ESTIMABLE,존경 받을 만한
PREDECESSOR,"선구자, 선행하는 것"
UNREPENTANT,"후회하지 않는, 회개하지 않는"
BOOTLESS,"소용없는, 쓸모 없는"
TOGA,로마인들의 흰색 옷
DEXTEROUS,"솜씨 좋은, 능숙한"
ZEAL,강한 열정
QUIBBLE,"사소한 반대, 트집잡기; 사소한 문제에 트집잡다, 논의의 주제를 회피하다"
AMBROSIAL,"맛있는,향기로운"
GEM,(깎아서 다듬은)보석
INDECIPHERABLE,판독이 불가능한; 이해할 수 없는
GRANDIOSE,"(겉모습, 외양) 웅장한, 장엄한; (계획) 의욕이 지나친"
MAGNILOQUENT,호언 장담하는
SOOTHING,진정시키는
SHADOWY,"그림자 드리워진, 희미한, 애매한"
FUTILITY,"헛수고, 무익함"
ACCOLADE,"영예,영광,찬양"
BRUTE,"짐승 같은 사람, 망나니"
AGAPE,(입) 벌어진
MAGNANIMITY,"도량, 관대함"
ABASE,"(품위, 지위) 강등시키다"
AVIARY,(큰)새장
ASSEMBLY,모임
HEART-RENDING,"마음을 찢어지게 하는, 매우 슬픈"
PERSPICACIOUS,"통찰력 있는,명민한"
BADGER,계속 괴롭히다;계속 졸라대다
SQUELCH,억제하다
FISCAL,"재정의, 재무의, 회계의"
FASCINATE,매료시키다
JADED,"지친, 지긋지긋한, 싫증난"
RANCID,(부패해서) 냄새가 고약한
GARGANTUAN,거대한
UNDERSCORE,밑줄 그어 강조하다
FALTER,"주저하다, 비틀거리다"
FOUNDER,침몰하다;실패하다
GRACILE,늘씬한
SQUARE,제대로 정돈된
MASTERFUL,"명인 솜씨의, 대가의, 훌륭한"
INVIOLATE,"신성한, 더럽혀지지 않은"
REPEAL,"취소하다, 철회하다"
SLOTHFUL,게으른
GARRULOUS,지나치게 수다스러운
CONSPIRE,공모하다
CONVERGENCE,"합침, 집함, 집중"
COMMENSURATE,"동등한, 같은 크기의, 균형 잡힌, 비례된"
DEFAULT,"의무불이행, 채납"
FEATURELESS,뚜렷한 특징이 없는
HUMILITY,겸손함
ENIGMATIC,난해한
BAROQUE,"지나치게 장식적은,화려한"
VOID,법률적 효력이 없는
INFLATE,"부풀게 하다, 확장시키다, 팽창시키다"
APATHETIC,"무감각한,무정한,무관심한"
YAWN,하품하다
EXUBERANT,"열의에 찬, 열광적인, 원기 왕성한, 활력적인"
TONIC,"힘을 주는, 원기왕성 하게하는"
FREQUENT,자주 들르다
MOTLEY,"잡동사니의,잡색의"
SCRUPULOUS,"양심적인; 세심한, 꼼꼼한, 면밀한"
DISINTEGRATE,"해체시키다, 해체하다"
LAX,"축 늘어진; 엄하지 않은, 관대한, 부주의한"
HIEROGLYPH,(이집트)상형문자
AILING,아픈
APPREHENSIBLE,이해하기 쉬운
PERENNIAL,"지속적인,영구적인"
COMPLAISANT,"기쁘게 해주려하는, 친절한, 정중한"
DESICCATE,건조시키다 
CREDENCE,"신용, 신임"
GLANCE,흘긋 보기; 흘긋 보다
REASSURE,안심시키다
IMPROMPTU,즉흥적인; 즉흥연주
WAN,"병약한,안색이 나쁜"
DOMICILE,"거주지, 집"
FOUL,"불쾌하고 역겨운; (날씨)사나운, 나쁜;(사람,언행)사악한,부도독한,저속한"
AFFINITY,좋아함; 유사성
SPRAIN,"염좌, 삐기"
OAF,"바보,멍청이,기형아"
INTEMPERATE,"무절제한, 방탕한"
DEFT,"솜씨 좋은, 민첩한"
OUST,"(지위,장소에서)내쫓다,축출하다"
FIT,적당한
OUTSTANDING,뛰어난
MAWKISH,매우 감상적인
GULLIBLE,쉽게 속는
MARVEL,놀라운 것
BALE,"재앙;불운,고통,불행"
REMONSTRATE,"항의하다, 이의를 제출하다"
RESPECT,존경
VAPOROUS,"증기의; 실직적이지 않은, 공허한, 가벼운; 신뢰할 수 없는, 자주 변하는"
PREPOSTEROUS,"비상식적인, 터무니없는"
IMPACTED,"(쇄기처럼)박힌, 꽉 끼인"
SNARL,"뒤엉키게 하다, 방해하다"
PASSIONATE,"열정적인, 감정에 치우치는"
ASPERSION,비방
APIARY,양봉장
HARRY,"괴롭히다, 못살게 굴다"
PITFALL,"함정,도사린 위험"
VIVIFY,"생기를 주다, 기운 차리게 하다"
ASKEW,휘어진
PEJORATIVE,"경멸적인,비난적인"
ARBOREAL,"수목의, (동물) 나무위에 사는 "
OUTLAW,"범법자,무법자"
RENEGE,"약속을 이행하지 못하다;(약속, 계약) 폐기시키다"
CHAGRIN,"원통함, 분함; 분함을 가지게 하다"
PROSPECT,채굴하다
ERUDITE,박식한
NONCOMMITTAL,"분명한 의견을 표명하지 않은,애매한,확실하지 않은"
SUSPEND,매달다; 막다; 연기하다
LOATHE,혐오하다
INERT,"움직이지 않는, 활력 없는"
ACERBIC,"(태도,말) 신랄한; (맛) 신,쓴"
ELONGATE,"(길이)늘이다, 연장하다"
ENSUE,뒤따라 발생하다
AGGLUTINATED,"접착된,응집된"
SKITTISH,"변덕스런, 장난스런, 활발한"
ARCHIVE,"기록모음,기록보관소"
MOLD,모양을 바꾸다;변형시키다
TANTALIZE,감질나게 하다; 자극하다
SLAPDASH,소홀하게 허둥지둥 이루어진
CACHE,"(귀중품, 무기)은닉처"
COMPLEMENT,"보완하다, 보충"
ILLITERACY,"무학, 문맹, 무교양"
DROLL,"까부는, 우스꽝스런"
LASSITUDE,무기력
PALTER,"둘러대다,얼버무리다,속이다"
CAREWORN,걱정(고생)으로 초췌한
FOLIAGE,(집합명사) 잎
MARSHY,질퍽한;습지의
EMINENT,"저명한, 유명한"
BLARE,"(소리)울려퍼지다;요란하게 울리다, 떠들어대다; 요란한소리"
ANTERIOR,이전의
LANGUID,"늘어진, 나른한, 기력 없는"
UNEXCEPTIONABLE,반대의 여지가 없는
TAUT,"팽팽한, 긴장된"
POTENTATE,"권세가, 강대한 힘의 소유자"
TIRADE,"장광설, 신랄한 공격"
MERRYMAKING,떠들고 놀기; 야단법석
EPICENTER,"(지진) 진앙, 진원지 ; 중심점"
OBDURATE,고집 센
DERACINATE,뿌리째 뽑아버리다; 근절하다
EXACTING,정확한;엄격한
MACABRE,"으스스한, 소름 끼치는"
GENERATOR,발전기
PROVINCIAL,"지방색의, 촌스러운, 세련되지 못한;시야가 좁은, 편협한"
INCOGITANT,사려 없는 분별없는 경솔한
LABYRINTH,미로
GROVELING,"비굴한,아첨하는;기는"
AIRPROOF,공기가 통하지 않는
SEGMENT,"쪼개다, 나누다"
TINE,(포크의)날카로운 갈래
ABDICATE,"(절대군주,고위공직자)사퇴하다,사임하다; (지위,권한,의무)포기하다,버리다"
SPLINT,부목
UNDERMINE,약화시키다
VERIFIABLE,입증 가능한
CONTRETEMPS,뜻밖의 불운한 사건
VAGARY,"변덕스런 행동, 엉뚱한 짓, 변덕"
TRIPOD,(카메라)삼각대
OFFICIOUS,참견이 심한
STULTIFY,"활력을 없애다, 바보로 만들다; 무효로 하다"
JOLT,"(갑자기, 난폭하게) 흔들다, 마구 흔들다"
NOXIOUS,"해로운,불쾌한"
SAINTLINESS,거룩함
DYNAMO,"에너지가 넘치는 사람, 정력가"
RANKLE,화나게 하다
SHADOW,미행하다
PARLANCE,화술
LOFTY,숭고한
ANECDOTE,일화
TRACTABLE,고분고분한
NOVICE,초보자
PEERLESS,"최고의,적수가 없는"
NONCHALANT,"태연한,무관심한"
IRIDESCENT,무지개 빛깔의
NONDESCRIPT,뚜렷한 특징이 없는
HAUNTEUR(HAUGHTINESS),"오만함, 거만함"
CONTENTION,"다툼, 논쟁, 주장"
SUCCOR,원조하다
WILLOWY,"(사람이) 키 크고 날씬한,우아한"
PROCRASTINATE,"미루다, 지연하다, 늑장부리다"
UNSWERVING,"굳은, 변함없는"
MISCREANT,범법자
ASPERITY,"(말,태도) 신랄함"
BLITHE,"경솔한, 부주의한;명랑한, 쾌활한"
GO-GETTER,"공격적인 사람, 진취적인 사람"
ACCRUE,"(증가,첨가에 의해서) 생기다"
REPROBATE,나쁜 놈;비난하다
RESPITE,짧은 휴식
NETHER,"아래의,밑의"
SUSTAIN,"유지하다, 지탱하다"
INTREPID,"겁 없는, 대담한"
SALUBRIOUS,"건강에 좋은, 유익한;건강한"
DISILLUSION,몽상이나 잘못된 믿음에서 깨어나게 하다
TEETER,비틀거리다
PLUCK,용기
ILLICIT,불법적인
BEATIFIC,"축복을 주는, 행복을 주는 "
METAPHYSICAL,"형이상학적인, 극히 추상적인"
SQUALOR,"더러움, 누추한; 천함, 비열함"
DAMN,비난하다
PLUMAGE,(집합 명사)새의 깃털
EAGLET,새끼 독수리
PLANGENT,(소리) 울려 퍼지는
QUIP,재치 있는 응답; 교묘하게 비꼬는 응답
REMOTE,"(거리) 먼, 외진;(관계)소원해진"
SOLICITOUS,걱정하는
HERESY,이단
QUARRELSOME,싸움하기 좋아하는
VOCAL,자유롭게 의견을 표현하는
HECKLE,괴롭히다
FOOT-DRAGGING,"지체, 더딤, 주저"
UNHERALDED,"널리 알려지지 않은, 무명의, 뜻밖의"
RUSE,"계략,음모, 책략"
SUBMERGE,"물에 푹 빠뜨리다, 잠수시키다"
READERSHIP,독자층
ROTUND,"둥근, 퉁퉁하게 살찐"
LIBERALITY,"후함, 관대함"
REPERTOIRE,"연주종목일람, 총 상연곡목(작품)"
HEARTSICK,상심한
BITING,신랄한; 통렬한
FAME,"유명, 유명세"
HUMBLE,"겸손한, 겸허한"
PSUEDONYM,(작가) 필명
GLARING,"눈부시게 빛나는; (색) 지나치게 야한; 눈에 띄는, 뻔한"
GOURMAND,"미식가, 대식가"
JUGGERNAUT,"엄청난 파괴력, 불가항력"
LIMP,절뚝거리다
IMPERVIOUS,"통과할 수 없는; 영향을 받지 않는, 해를 입지 않는"
SALUTARY,유익한
LAUDABLE,"칭찬받을 만한, 훌륭한"
BLUNT,"직설적인, 무뚝뚝한, 퉁명스런; (칼이나 연필)뭉퉁하고 무딘; 날카롭지 않게 만들다"
VERBOSE,장황한
FASTNESS,"요새, 안전한 곳; 고정; 신속"
PREFACE,"서론, 머리말"
CORNUCOPIA,풍부함(의 상징)
SHRUG,"(무관심, 의문, 불쾌의 표시) 양 어깨를 으쓱하다"
EXHORT,"강요하다, 강권하다"
MANIAC,광적으로 열중하는 사람
AWNING,차양
FIDELITY,"충성, 정조"
SURMISE,"추측하다, 짐작하다"
AQUEOUS,"물의,수성의,물을 함유한"
PALPITATE,(심장)빠르게 뛰다
PIQUE,"화나게 하다,자극하다"
GRUESOME,"소름 끼치는, 오싹하는"
DENIGRATE,부당하게 비난하다; 폄하하다
PARROT,"기계적으로 떠라 하다,기계적으로 반복해서 말하다"
MENSURABLE,측정 가능한
WHET,날카롭게 하다;자극하다
DEFY,"(공공연하게) 저항/도전하다, 불복종하다"
HEINOUS,(행동) 극악한
ARCHAIC,"고대의,고풍스러운,구식의"
RASH,"무모한, 서두르는, 성급한"
ABSTRACT,"요약하다,주의를 딴 곳으로 돌리다 ,(설명이) 구체적이지 않은,난해한"
TARPAULIN,(타르 등을 칠한)방수시트
LONGEVITY,"장수, 오래 지속됨"
VAPID,"맛 업는, 자극 없는, 재미없는"
RESENTFUL,"분개한, 화를 잘 내는"
AUSPICIOUS,"길조의,유리한"
CAST,출연배우들
CRUMBLE,"바스러지다, (건물,땅)허물어지다"
PARTISAN,열렬한 지지자
CURT,"(말)퉁명스런, 짧은, 간결한"
COURT,"호의를 얻으려 하다, 구애하다"
CALCULATED,"의도된, 계산적인"
ANARCHIST,무정부주의자;폭력혁명가
CALCIFY,"석회화하다, 굳어지다"
PROFLIGATE,"탕진하는, 낭비하는"
NOCTURNAL,"밤의,야행성의"
LEADEN,"둔한, 느릿한; 활기 없는"
HACKER,아마추어 스포츠인
SCURRILOUS,"(입) 상스런, 저속한, 욕하는"
GERMANE,"밀접한 관계가 있는, 적절한"
ARTISAN,"기능공,숙련공,장인"
BEVY,"무리, 떼"
CONDUCIVE,"공헌하는, 도움이 되는"
APOCRYPHAL,"저작자가 의심스런,가짜의"
STANDOFFISH,"쌀쌀맞은, 마음을 잘 열지 않는, 무뚝뚝한"
CLUMSY,"서툰, 어색한; 다루기 힘든, 어려운"
INDOMITABLE,"불굴의, 꿋꿋한 불복하지 않는"
ADVENT,"출현,도래"
THUNDERING,"엄청난, 대단한"
SKETCH,대략적으로 묘사하다
TORRID,매우 더운; 열정적인
NAÏVE,"순진한,순박한,경험이 없는"
PROLIX,"장황한, 지루하게 긴"
INCIPIENT,"시작단계의, 초기의, 발단의"
WIZENED,"쭈글쭈글한,쇠약한,시든"
HOBNOB,"(높은 신분과)친하게 지내다, 사귀다"
EXHUME,"(매장된 것, 시신) 파내다"
TAILOR,재단사
EXPEDIENT,편의주의적인; 신속한
PROFFER,"내놓다, 제의하다"
DULY,"적절하게, 적당하게"
FULMINATION,심한 비난
PLAGUE,괴롭히다
COMBUSTIBLE,"가연성의, 불붙기 쉬운"
STIPPLE,점묘법으로 그리다
URBANE,"세련된, 예의 바른"
BIBLIOGRAPHY,"도서목록, 문헌 목록"
OVERTURE,"(오페라,오라트리오)서곡"
MARSUPIAL,유대목
LOATHSOME,혐오스러운
HOMAGE,존경
DEFLATE,수축시키다; 풀 죽게 하다
DISEMBARRASS,"(짐, 장애, 걱정 등에서) 해방하다"
FLOPPY,"(옷이) 펄럭이는, 늘어진, 느슨한"
PROPENSITY,"강한 기호, 경향"
INCULPATE,"혐의를 씌우다, 죄를 씌우다"
RETICENT,과묵한
LUBRICATE,"기름칠하다, 매끄럽게 하다, 원활하게 하다"
GLACIAL,"매우 추운; 매우 느린; (태도,눈빛) 매우 차가운"
MORBID,"병의,병적인"
MANUMIT,해방(석방)하다
OBEDIENT,"순종적인,복종을 잘하는"
MATTER-OF-FACT,"현실적인, 실질적인"
HETERODOX,(일반적인 믿음)따르지 않는
DIEHARD,완강하게 저항하는; 완고한 보수주의자
POTABLE,마시기에 적당한
DEPLORE,비난하다; 개탄하다
RECLUSE,은둔자
TOOTHSOME,"맛있는, 매력적인"
HYDROGEN,수소
WINSOME,매력적인
PARAGON,"완벽한 예가 되는 사람이나 사물,모범,전형"
DORMANT,활동이 없는;동면 기에 있는;잠재적인
DOGGED,"끈질긴, 끈덕진"
NEPOTISM,친족주의
NEFARIOUS,"사악한,범법의"
ARBITRARY,"임의의, 제먹대로의, 자유재량의"
HEDONISM,쾌락주의
PERVADE,"퍼지다,온통 가득하다"
SANGFROID,"침착, 냉정"
EUPHORIA,(강한)행복감
EXACERBATE,악화시키다
COSSET,응석을 받아주다
SMUGGLE,밀수하다
VEX,"짜증나게 하다, 귀찮게 하다"
CONVERT,"변형시키다, 바꾸다, 개종시키다"
UNACCOUNTABLE,설명되지 않는
REVERE,깊이 존경하다
TRANSITION,"변화, 전이"
CONTRIVED,"계획된, 의도된"
RESPECTFUL,공손한
ASSIDUOUS,"끈기 있고 부지런한,꾸준한"
VOCIFEROUS,떠들썩한
FRETWORK,실톱세공
AIMLESS,목적 없이 노력하지 않는
OBSERVANT,"지각력이 예민한, 기민한"
SUBSERVIENT,"굴종하는, 비굴한; 부차적인, 부수적인"
TOADY,아첨하는 사람
ATTEST,"증명하다,증언하다,입증하다"
ENVY,"부러워하다, 탐내다"
BALKY,"고집 센,말을 안 듣는"
MAR,"망치다, 손상하다"
ANONYMOUS,"무명의,익명의"
AMELIORATE,"개선하다,개량하다"
COOLHEADED,"냉정한, 침착한"
RENOWN,명성
DEFERRABLE,미룰 수 있는
KNACK,"요령, 비결"
SHARD,"(도자기, 유리, 바위) 파편조각"
JEST,"농담, 익살, 희롱; 놀리다, 비웃다"
PEEVE,화나게 하다
ENFEEBLE,약화시키다
DETAIN,"붙들다, 지체시키다; 구류하다"
DIGRESS,(주제에서) 벗어나다
GENIAL,"친절하고 쾌활한, 상냥한"
VICISSITUDE,"(인생, 운명) 변천, 부침, 변하기 쉬움"
OBTRUSIVE,눈에 거슬리는
GRAVE,"엄숙한, 진지한"
BEACON,"등대, 봉홧불"
ABSOLVE,"(비난,유죄성,책임에서) 벗어나게 해주다"
HEYDAY,전성기
POLITIC,"현명한, 분별력 있는"
MAJESTIC,"위엄한, 당당한, 장엄한"
ENTRAMMEL,"얽히게 하다, 구속하다, 방해하다"
RILE,화나게 하다
AMITY,"우호, 우정, 친목"
RABIES,"공수병, 광견병"
SACERDOTAL,"성직의, 사제의"
EMBEZZLE,"횡령하다, 사취하다"
GAINSAY,"반박하다,부인하다,반대하다"
REPUDIATE,"부인하다, 거절하다"
OUTLANDISH,"별난,기이한,희한한;이국적인"
DIN,소음
VOUCH,"(신뢰성을)보증하다, 보장하다"
INCOGNIZANT,모르는 무지한
EXPEDITIOUS,신속한
RECIDIVISM,상습적 범행
DODGE,피하다
BLISS,"더 없는 기쁨, 행복"
THRIVE,"번성하다, 무성하게 자라다"
DULCET,(소리가)감미로운
TULAREMIA,(전염성)야토병
AGGRAVATE,"악화시키다,화나게 하다"
PROSELYTIZE,개종시키다; 개종하다
BRIBE,"뇌물 주다, 매수하다"
LAMBASTE,심하게 비난하다
SOP,달래려고 준 것; 뇌물
APPEASE,"달래다,진정시키다,양보하다"
VIRTUOUS,"덕이 높은, 미덕이 있는"
HALLOW,"거룩히 여기다, 신성하게 하다"
DETER,단념시키다
IMPECUNIOUS,무일푼의
VALEDICTION,작별; 작별인사
JUDICIOUS,현명한
ENCODED,암호화된
RESTRAIN,"제한하다, 억제하다"
PARITY,"동등,동격,동량"
WINCE,"(고통,두려움)찡그리다,움츠리다"
HORTATIVE,"(조언, 연설 등이)격려하는; 충고의"
TRIPTYCH,"3매가 이어진 제단 그림, (미술,문학,음악의)3연작, 삼부작"
EAVESDROP,몰래 엿듣다
ENRICH,부유하게 만들다; 향상시키다
BARREL,"쏜살같이 움직이다,질주하다"
EDIT,편집하다
RECESS,쉬는 시간;휴식기간;활동의 임시적 중단
ALBINO,백화병환자
SUBVERT,전복시키다
RECUPERATIVE,(건강)회복시켜주는
ESTEEM,"존경, 존중, 호의적 평가"
INGENIOUS,독창적인
STANDARD,표준의
INCREDIBLE,믿을 수 없는
BETROTHAL,약혼
CENSURE,비난하다
INEFFACEABLE,"지워질 수 없는, 잊을 수 없는"
TRUSS,"형구, 지붕 틀"
POSEUR,젠체하는 사람
ACOLYTE,"(로마가톨릭 예배의식) 시제,복사"
CONSENSUS,"합의, 동의"
REBUT,"반박, 논박하다"
INSTRUMENTALIST,악기 연주자
DANDY,지나치게 멋 부리는 남자
FARCICAL,우스꽝스런
AWRY,휘어진
BEGUILE,"매혹시키다, 속이다, 기만하다"
BUMPTIOUS,"거만한, 오만한, 지나치게 자기주장이 강한 "
HANGDOG,"처량한, 부끄러워하는"
OBSTACLE,"방해물,장애물"
CAPABILITY,힘과 능력
ADVERSARY,"적,원수"
INTRINSIC,본질적인
GULL,속이다
LOQUACIOUS,(매우)수다스러운
ADAPTED,적절히 변경된
APEX,최고점
DAWDLER,게으름뱅이
CONCILIATE,"화해시키다, 중재하다, 조화시키다, 일치하다"
PENETRATING,"직관력이 있는,통찰력 있는, 현명한"
CANOPY,차양
CANE,"사탕수수 나무줄기, 지팡이, 회초리"
OBLIVIOUS,"알아채지 못한,염두에 없는,망각한"
DISCREPANCY,"불일치, 차이, 어긋남"
GRIEVOUS,"심각한,중대한,슬픈"
LEGENDARY,"전설적인, 매우 유명한"
BOGGLE,"깜짝 놀라게 하다, 압도하다;깜짝 놀라다, 움찔하다"
DISGUISE,위장하다
PLAGIARISM,표절
RETENTION,"보존, 보유, 유지;기억력"
WANDER,"(정처없이) 헤매다, 배회하다"
CASTIGATE,"심하게 꾸짖다, 비난하다, 징계하다"
CHROMATIC,색채의
VITIATE,"손상시키다, 망치다, 무효화하다"
CUNNING,"교활한, 교묘한; 속임수,정직하지 않음"
IGNOBLE,"비열한,야비한"
REMOLD,"(모양, 구조, 특징)바꾸다"
SLIGHT,"사소한, 대수롭지 않은; 무시하다, 경시하다"
IRRADIANCE,복사 조도; 발광
VEER,방향을 바꾸다;(갑자기) 의견이나 주제를 바꾸다
PROSECUTION,기소
CIRCUMLOCUTION,"에둘러대기, 완곡어법, 다변"
MARTINET,"엄격한 규율가, 엄격한 교관"
APOSTATE,변절자;변절하는
ANALGESIC,통증을 없애주는;진통제
STEAL,은밀히 움직이다
PAEAN,"찬가,승전가"
CHARLATAN,"허풍선이, 돌팔이, 사기꾼"
EATABLE,(음식)먹을 수 있는
ABROGATE,"(법령,관습) 공식적으로 폐지하다"
FRAUGHT,"가득한, (정신) 괴로워하는"
JOCULAR,"익살맞은, 떠드는, 까부는"
PITTANCE,"아주 적은 용돈, 수당, 보상"
STAIN,얼룩; 더럽히다 
ANCILLARY,"부속의,보조의"
ICONOCLAST,성상파괴자; 인습타파론자
INTRANSIENT,"금방 사라지지 않는, 영구적인"
ENCYCLOPEDIC,"포괄적인, 백과사전식인, 해박한"
HOARD,"보관하다, 저장하다;(몰래) 저장하다"
AERIAL,"공기의,공기 중에서 발생하는"
OBFUSCATE,"애매하게 하다,어리둥절하게 하다"
BILK,"(돈)사취하다, 속이다; 피하다; 좌절시키다, 막다"
RICKETY,(구조물)곧 무너질 것 같은
EVASIVE,"회피하는, 솔직하지 않은"
RIVETING,"대단히 매력적인, 푹 빠지게 하는"
IMPENETRABLE,"통과할 수 없는, 스며들 수 없는, 이해할 수 없는"
INNOCUOUS,무해한
IDLE,"(기계,공장)작동하지 않는, 사용되지 않는"
SADIST,가학적인;잔혹함을 즐기는 사람
SPENT,"(힘, 에너지) 소진된"
BLAZON,"과시하다, 꾸미다"
WRINKLE,주름
APPROBATION,"승인,칭찬"
VILIFY,"비방, 중상하다"
CONGRUENCE,"적합, 일치, 합동"
TRUISM,"자명한 이치, 뻔히 아는 일"
DIRE,"끔찍한, 불길한"
SECULAR,세속적인
IMMEASURABLE,"측정할 수 없는, 무한한"
LEAVEN,"발효시키다, 부풀어 오르게 하다"
GAUCHE,"서투른,세련되지 않은,솜씨 없는"
DEBUNK,(허구임을) 드러내다
PREEMPT,"선제적으로 막다; 선취하다, 선점하다"
CONGENITAL,선천성의
REPELLENT,불쾌감을 주는
RUFFLE,(셔츠 끝단) 주름장식
GREED,탐욕
SMIRK,(자기만족감에) 히죽히죽 웃다
SUPERCILIOUS,거만한 건방진
CONCUR,"동의하다, 동시에 발생하다"
INTENSIFY,심화시키다; 강화시키다
RALLY,"세를 규합하다; 집회로 모이다; (사기) 진작시키다; (건강,기세) 회복시키다"
HAMPER,"막다,방해하다"
LETHARGY,무기력
MELD,(골고루) 잘 섞다
LIGHTHEARTED,"걱정이 없는, 쾌활한, 명랑한"
INCARCERATE,투옥시키다. 감금시키다
UNFRIENDED,친구가 없는
COGNIZANT,"인식한, 알고 있는"
FUROR,분노
IMPEDE,"방해하다, 훼방 놓다"
MEASURE,악보한마디;측정하다
DISCURSIVE,"산만한, 종작없는"
TRIBUTE,"감사, 존경, 찬양의 표시"
APPRECIABLE,"상당한,쉽게 알아볼수있는"
NUMB,마비된; 마비시키다
FREEZE,동결하다
INEQUITY,"불공정, 불공평"
SCISSION,"절단, 분리, 분열"
LOAF,빈둥거리다
FLOUT,"경멸하다, 비웃다, 멸시하다"
SIGNAL,"현저한, 주목할만한; 훌륭한, 탁월한"
ENMITY,적대감
ISSUE,"나오다, 흘러나오다; 방출하다, 지급하다; 발표하다"
DIPLOMATIC,"(사람 다루는 데에) 능숙한, 능란한"
HINDER,방해하다 
PORTRAIT,초상화
PERFIDY,"배신,속임"
BUGLE,군대 나팔
STARK,"장식이 없는, 간소한; 뚜렷한, 분명한; 완전한; 강한, 굳센"
DOWNGRADE,강등시키다
SPEED,"속도를 높이다, 가속화하다"
INNOVATION,혁신
CONSUMMATE,"(기술,실력) 완전한, 완벽한"
CONFOUND,"혼돈하다, 당황케 하다"
RANT,"호언장담, 과장된 말; 고함치다, 고래고래 소리치다"
SCALE,"천칭, 저울"
IMPARTIAL,공정한
INDULGE,탐닉하다; 관대히 대하다
BRASSY,"뻔뻔스런, 철면피의"
ROIL,"화나게 하다, 초조하게 만들다;액체를 휘저어 흐리게 하다"
INVENTORY,"재고목록, 품목 일람, 재고조사"
UNABATED,"(세력, 활기 등) 줄어들지 않는"
BOONDOGGLE,"속임수, (부질없는)시시한 일; 속이다, 부질업는 일에 시간을 낭비하다"
FRAIL,"약한, 깨지기 쉬운"
HUBRIS,"지나친 자신감, 오만함"
SYNTHESIZE,"합성하다, 종합하다"
OBSTREPEROUS,"통제가 안되는,시끄러운,떠들썩한"
TRIAD,"3인조, 3개한벌"
PLIANT,"유연한, 고분고분한"
BRISTLE,"분연하게 성내다, 성나서 털이 쭈볏 서다"
HEM,둘러대다; 제한하다
ARTICULATE,말을 유창하고 조리 있게 하는
